MBOLO Sante - Modele financier (hypotheses a ajuster). Devise: FCFA. 1 USD = 600 FCFA
,,,,,,,,,,,,,
HYPOTHESES CLES,Valeur,,Commentaire,,,,,,,,,,
Commission plateforme,15%,,sur consultations / courses / repas,,,,,,,,,,
Frais de service commande pharmacie,500,,par commande,,,,,,,,,,
Frais livraison (base),1000,,+ 200 FCFA/km,,,,,,,,,,
Tarif course (base),1500,,+ 200 FCFA/km,,,,,,,,,,
Marge brute moyenne par commande pharmacie,820,,apres coursier + frais paiement,,,,,,,,,,
Marge brute moyenne par course,700,,apres coursier + frais paiement,,,,,,,,,,
Marge brute moyenne par teleconsultation,1500,,commission 15% sur ~10000,,,,,,,,,,
Marge brute moyenne par repas,600,,frais livraison + commission,,,,,,,,,,
Frais paiement mobile money,2%,,sur montant encaisse,,,,,,,,,,
,,,,,,,,,,,,,
ANNEE 1 - PROJECTION MENSUELLE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,TOTAL A1
Commandes pharmacie,120,160,220,320,450,600,750,900,1000,1100,1200,1300,8120
Courses transport,30,45,60,90,120,160,200,240,270,300,330,360,2205
Teleconsultations,20,30,45,60,80,100,130,160,180,200,220,240,1465
Commandes repas,10,20,35,55,80,110,140,170,190,210,230,250,1500
Revenu commandes (marge),98400,131200,180400,262400,369000,492000,615000,738000,820000,902000,984000,1066000,6658400
Revenu courses (marge),21000,31500,42000,63000,84000,112000,140000,168000,189000,210000,231000,252000,1543500
Revenu teleconsult (marge),30000,45000,67500,90000,120000,150000,195000,240000,270000,300000,330000,360000,2197500
Revenu repas (marge),6000,12000,21000,33000,48000,66000,84000,102000,114000,126000,138000,150000,900000
REVENU BRUT TOTAL (marge),155400,219700,310900,448400,621000,820000,1034000,1248000,1393000,1538000,1683000,1828000,11299400
,,,,,,,,,,,,,
Couts fixes (serveurs/SMS/video),150000,150000,150000,180000,180000,180000,220000,220000,220000,250000,250000,250000,2400000
Marketing & acquisition,200000,200000,200000,250000,250000,250000,200000,200000,200000,150000,150000,150000,2400000
Salaires/operations (hors coursiers),0,0,0,150000,150000,150000,300000,300000,300000,300000,300000,300000,2250000
COUTS FIXES TOTAUX,350000,350000,350000,580000,580000,580000,720000,720000,720000,700000,700000,700000,7050000
,,,,,,,,,,,,,
RESULTAT NET MENSUEL,-194600,-130300,-39100,-131600,41000,240000,314000,528000,673000,838000,983000,1128000,4249400
,,,,,,,,,,,,,
RESUME 3 ANS (annuel),Annee 1,Annee 2,Annee 3,,,,,,,,,,
Transactions totales/an,13290,52000,120000,,,,,,,,,,
Revenu brut (marge) FCFA,11299400,42000000,96000000,,,,,,,,,,
Couts totaux FCFA,7050000,28000000,60000000,,,,,,,,,,
Resultat net FCFA,4249400,14000000,36000000,,,,,,,,,,
,,,,,,,,,,,,,
NOTE,Les chiffres Annee 2 et 3 sont des ordres de grandeur a affiner. Le modele suppose Libreville en A1 puis Port-Gentil + densification.,,,,,,,,,,,,
